model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_7_XGB,61,0.33,0.28,0.219,0.931,0.923,0.34,0.601,0.704,22,36.066
predicted_COT_model_7_FFNN,61,0.33,0.28,0.219,0.986,0.939,0.288,0.656,0.734,28,45.902
