Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_7_XGB,dataset_B,0.0059,0.4335,3.3094,1.4555,0.405,0.6276,77.7192,142
model_7_FFNN,dataset_B,0.0468,0.4883,3.2405,1.4727,0.4081,0.6001,82.974,142
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_4_FFNN,dataset_A,-0.6269,-1.4717,1.087,0.7563,0.3556,0.4721,73.3089,267
model_4_XGB,dataset_A,-0.197,-0.1362,0.9324,0.6087,0.2711,0.3757,52.9141,267
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_4_FFNN,dataset_D,0.0399,0.0378,2.4906,1.4547,0.5896,0.6979,549.1922,165
model_4_XGB,dataset_D,0.0727,0.1356,2.4476,1.3124,0.5486,0.6315,436.2567,165
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_4_FFNN,dataset_F,-0.0475,-0.211,1.6732,1.1622,0.5546,0.6232,2165.4598,241
model_4_XGB,dataset_F,0.1606,-0.1152,1.4978,1.0025,0.5048,0.5587,1525.955,241
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_7_XGB,dataset_A,0.3612,0.3678,0.6811,0.4533,0.1981,0.271,48.646,267
model_7_FFNN,dataset_A,0.1028,0.0791,0.8072,0.561,0.2507,0.3299,62.6816,267
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_7_XGB,dataset_D,0.2261,0.4267,2.236,1.0044,0.3923,0.5109,287.1648,165
model_7_FFNN,dataset_D,0.1089,0.3178,2.3994,1.153,0.4611,0.5669,330.2621,165
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_7_XGB,dataset_F,0.4339,0.2129,1.23,0.6904,0.3429,0.4167,1138.0469,241
model_7_FFNN,dataset_F,0.2737,0.1093,1.3933,0.8244,0.4038,0.4691,1338.8983,241
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_4_FFNN,dataset_B,0.4491,0.5551,2.4637,1.2707,0.389,0.4983,111.6409,142
model_4_XGB,dataset_B,0.2009,0.4987,2.9671,1.4346,0.4181,0.5623,104.4932,142
