Model,Dataset,R²_log,MALE,RMSLE,Modelo,model
model_5_FFNN,dataset_B,0.451,0.4067,0.6215,Santos_não,FFNN
model_5_XGB,dataset_B,0.3641,0.3997,0.6073,Santos_não,XGB
model_10_FFNN,dataset_A,-0.447,0.2988,0.4038,Santos_não,FFNN
model_10_XGB,dataset_A,-0.7239,0.3115,0.4325,Santos_não,XGB
model_10_FFNN,dataset_D,0.4392,0.4131,0.5455,Santos_não,FFNN
model_10_XGB,dataset_D,0.4371,0.4104,0.5172,Santos_não,XGB
model_10_FFNN,dataset_F,0.1783,0.3781,0.4555,Santos_não,FFNN
model_10_XGB,dataset_F,0.1936,0.3746,0.473,Santos_não,XGB
model_1_FFNN,dataset_B,-0.1101,0.5237,0.7424,Santos_sim,FFNN
model_1_XGB,dataset_B,-0.1478,0.4567,0.6725,Santos_sim,XGB
model_2_XGB,dataset_A,-2.9915,0.4916,0.6662,Santos_sim,FFNN
model_2_FFNN,dataset_A,-1.0935,0.4174,0.5923,Santos_sim,XGB
model_2_XGB,dataset_D,0.4081,0.4006,0.5254,Santos_sim,FFNN
model_2_FFNN,dataset_D,0.2369,0.4768,0.6257,Santos_sim,XGB
model_2_XGB,dataset_F,0.0561,0.4115,0.5609,Santos_sim,FFNN
model_2_FFNN,dataset_F,0.1738,0.3824,0.4577,Santos_sim,XGB
model_11_XGB,dataset_B,0.3663,0.3893,0.5762,Espec_Sant,FFNN
model_11_FFNN,dataset_B,0.1843,0.4858,0.6961,Espec_Sant,XGB
model_3_FFNN,dataset_A,-1.0817,0.311,0.4217,Espec_Sant,FFNN
model_3_XGB,dataset_A,-0.3148,0.3044,0.3931,Espec_Sant,XGB
model_3_FFNN,dataset_D,0.3443,0.4512,0.5509,Espec_Sant,FFNN
model_3_XGB,dataset_D,0.3533,0.4522,0.5582,Espec_Sant,XGB
model_3_FFNN,dataset_F,0.077,0.4216,0.4919,Espec_Sant,FFNN
model_3_XGB,dataset_F,0.0823,0.417,0.4744,Espec_Sant,XGB
model_8_XGB,dataset_B,0.4054,0.4356,0.6575,bdo_comp,FFNN
model_8_FFNN,dataset_B,0.4251,0.436,0.6391,bdo_comp,XGB
model_6_XGB,dataset_A,-0.2121,0.283,0.3849,bdo_comp,FFNN
model_6_FFNN,dataset_A,-0.2252,0.2808,0.3898,bdo_comp,XGB
model_6_XGB,dataset_D,0.1195,0.5537,0.6546,bdo_comp,FFNN
model_6_FFNN,dataset_D,0.0626,0.5821,0.6648,bdo_comp,XGB
model_6_XGB,dataset_F,-0.0951,0.5029,0.5728,bdo_comp,FFNN
model_6_FFNN,dataset_F,-0.1569,0.53,0.5824,bdo_comp,XGB
model_7_XGB,dataset_B,0.4335,0.405,0.6276,Sant_Camp,FFNN
model_7_FFNN,dataset_B,0.4883,0.4081,0.6001,Sant_Camp,XGB
model_4_FFNN,dataset_A,-1.4717,0.3556,0.4721,Sant_Camp,FFNN
model_4_XGB,dataset_A,-0.1362,0.2711,0.3757,Sant_Camp,XGB
model_4_FFNN,dataset_D,0.0378,0.5896,0.6979,Sant_Camp,FFNN
model_4_XGB,dataset_D,0.1356,0.5486,0.6315,Sant_Camp,XGB
model_4_FFNN,dataset_F,-0.211,0.5546,0.6232,Sant_Camp,FFNN
model_4_XGB,dataset_F,-0.1152,0.5048,0.5587,Sant_Camp,XGB
model_9_XGB,dataset_A,0.066,0.2558,0.3481,Campos,XGB
model_9_FFNN,dataset_A,-2.3801,0.4324,0.5752,Campos,FFNN
model_9_XGB,dataset_B,0.2171,0.5433,0.7002,Campos,XGB
model_9_FFNN,dataset_B,-0.0279,0.5077,0.7034,Campos,FFNN
model_9_XGB,dataset_D,-0.4422,0.81,0.909,Campos,XGB
model_9_FFNN,dataset_D,-0.3906,0.7992,0.8947,Campos,FFNN
model_9_XGB,dataset_F,-0.617,0.7559,0.843,Campos,XGB
model_9_FFNN,dataset_F,-0.5343,0.6996,0.7997,Campos,FFNN
